user_id,Places,rating
1,Rana Hunting and Luxury Resort Lahore,4.3
2,The Guitar Center,4.6
3,True Brew Records,4.5
4,Sound of Music,4.8
5,FEELING JAZZ - YAMAHA MUSIC,4.4
11,Liberty Market,4.0
12,Anees Book Corner,3.0
13,Mall of Lahore,4.0
14,Auriga Market,5.0
15,Gulberg Galleria,4.5
16,Gaddafi Stadium,4.8
17,Arena56,3.5
18,Lahore Marina Boat Club,4.0
19,2F2F Formula Karting,4.4
20,Lahore fort,5.0
21,Wazir khan Masjid,4.5
22,Grand Square Mall,4.9
23,Panorama Shopping Centre,4.2
24,Amanah Mall,4.5
25,Xinhua Mall,4.3
27,Ejaz Art Gallery,4.8
28,Jamia masjid Alqaadsia,5.0
29,Liberty Books,3.6
30,AL-Hammra Art Centre,4.0
31,Home,5.0
32,Badshahi Masjid,4.5
33,Oasis Golf and Aqua Resort,4.5
35,Mavi Masjid,4.0
36,F1 tracks,4.4
38,Packages Mall,4.5
39,Chaye Qawali,4.4
40,Strictly Social,4.2
41,Jallo Forest and Wildlife,4.0
43,Changa Manga Forest and Wildlife Park,4.6
44,Lahore Safari Park,4.0
45,Lahore Zoo,4.0
46,Readings,5.0
49,The Last Word,4.4
50,British Council Lahore Library,4.8
51,Government Model Town Library,4.3
52,Gymkhana library & Reading Room,4.0
53,Passion Art Gallery,3.0
54,Nairang Art Gallery,4.9
55,Naqsh Art Gallery,4.5
57,Prime Art Gallery,5.0
58,Zulfi’s Art Gallery,4.1
59,Ocean Art Gallery,4.5
60,Hamail Art Gallery,4.3
62,Emporium Mall,4.2
63,Grand Jamia Masjid,4.0
64,Musically - Rooftop Restaurant,4.6
66,Jilani Park,4.5
73,Quaid-e-Azam International Cycling Velodrome,2.5
74,LDA Sports Complex,4.3
75,Defence Raya Golf and Country Club,4.5
76,Route to Pilates,4.8
80,Fortress,4.2
81,Anarkali,3.9
83,Fortress Square,4.5
85,Shrine of Hazrat Data Ganj Bakhsh,4.5
95,PU library,5.0
97,2F2F Formula Karting,4.4
99,Army Museum,4.8
100,Lahore Meusem,4.5
105,Cinestar,4.4
106,Cinepax,4.0
107,Universal Cinema,4.8
108,Alhamra Arts Council,4.4
109,Alhamra Open Air Theater,4.4
113,Shapes DHA,4.4
114,National Hockey Stadium,4.3
127,Quaid e Azam Library,4.7
130,Greater iqbal park,5.0
131,Badshahi mosque,4.5
134,Jam-e-Shirin Park,4.8
135,Model Town Park,4.6
136,National Bank Park,3.8
137,Shahdara Bagh,4.4
138,Jallo Park,4.0
139,Shalimar Garden,4.0
152,Dai Anqa Masjid,5.0
153,Begum Shahi Masjid,4.5
154,Quran classes,5.0
174,Mochi Bagh,3.6
178,National History Museum,4.5
181,Arena55,5.0
182,Punjab Athletics Stadium,4.4
184,Bahria Golf and Country Club,4.0
185,Royal Palm Golf and Country Club,4.0
188,Green Fields Country Club,4.5
193,Fame Football Club,4.3
215,Ali Auditorium,3.7
222,Punjab Public Library,5.0
223,Dyal Singh Trust Library,4.0
225,Defence Public Library,5.0
227,Children Library Complex,4.5
228,AimFit Lahore,4.7
241,Structure Health & Fitness Gulberg Lahore,4.4
247,Bodytalk Gym Lahore,3.5
248,Times Fitness,4.9
249,Fitness Zone,4.8
260,Reading novels,4.8
267,Gulshan Iqbal Park,4.0
288,UET Library,4.0
301,Shrine of Madhu Lal Hussain,4.2
302,Bibi Pak Daman Shrine,4.5
303,Sacred Heart Cathedral,4.1
304,St. Andrew’s Church,3.5
305,Krishna Mandir,4.0
306,Valmiki Mandir,4.4
307,Bhairav ka Asthan,4.3
308,Rattan Chand Temple,4.0
309,Gurdwara Dera Sahib,4.5
310,Gurdwara Janam Asthan Guru Ram Das,5.0
311,Gurdwara Shahid Ganj Singh Singhania,4.0
312,Shaheed Ganj Bhai Taru Singh,4.2
320,Lahore meuseum,4.5
321,GUITAR WORLD,4.8
343,"Ferozsons, Liberty Books",5.0
359,Internet cafes,4.8
376,The Arena,4.7
391,Ferozsons,4.1
403,Shakir Ali Museum,5.0
406,Lawrence Garden,4.0
466,Pet sheds,3.9
470,Naqsh Art Gallery ,5.0
482,Grand Jamia Masji,4.0
